name,pos,team,adp,ecr,proj,tier,fp_adp,yahoo_adp
Jahmyr Gibbs,RB,DET,1.5,1,337.2,1,1.0,1.0
Bijan Robinson,RB,ATL,2.2,2,329.9,1,2.0,2.0
Ja'Marr Chase,WR,CIN,3.9,3,275.4,1,3.0,3.0
Puka Nacua,WR,LAR,2.8,4,281.3,1,4.0,4.0
Jaxon Smith-Njigba,WR,SEA,5.9,5,268.7,1,6.3,6.0
Amon-Ra St. Brown,WR,DET,7.9,6,261.1,1,8.3,8.0
Jonathan Taylor,RB,IND,5.9,8,288.7,1,6.7,7.0
Christian McCaffrey,RB,SF,5.5,7,295.6,1,5.0,5.0
CeeDee Lamb,WR,DAL,12.1,10,224.3,1,11.3,10.0
Justin Jefferson,WR,MIN,13.1,11,223.2,2,12.3,12.0
James Cook III,RB,BUF,9.5,9,253.9,1,9.0,9.0
Drake London,WR,ATL,13.9,15,236.2,2,20.0,19.0
Chase Brown,RB,CIN,13.6,12,246.6,2,14.7,15.0
A.J. Brown,WR,NE,17.0,13,211.3,2,21.0,24.0
Saquon Barkley,RB,PHI,16.7,14,243.8,2,12.7,11.0
De'Von Achane,RB,MIA,10.5,16,259.7,2,13.0,14.0
Brock Bowers,TE,LV,40.1,18,195.8,2,22.0,21.0
Nico Collins,WR,HOU,21.0,19,0,2,23.7,22.0
Omarion Hampton,RB,LAC,22.5,20,0,2,16.0,18.0
Derrick Henry,RB,BAL,9.8,21,264.6,2,18.7,17.0
Kenneth Walker III,RB,KC,20.3,17,0,2,17.0,16.0
George Pickens,WR,DAL,19.9,22,0,2,25.0,23.0
Trey McBride,TE,ARI,42.8,24,199.8,2,22.7,25.0
Chris Olave,WR,NO,22.2,23,213.9,2,28.7,31.0
Rashee Rice,WR,KC,18.3,30,224.5,3,31.7,33.0
Malik Nabers,WR,NYG,26.1,26,0,3,29.0,29.0
DeVonta Smith,WR,PHI,30.9,27,0,3,33.0,28.0
Zay Flowers,WR,BAL,23.9,29,0,3,37.3,36.0
Kyren Williams,RB,LAR,29.7,32,0,3,28.0,27.0
Tee Higgins,WR,CIN,35.1,33,0,3,39.3,32.0
Tetairoa McMillan,WR,CAR,31.8,41,0,3,40.0,40.0
Josh Allen,QB,BUF,29.7,28,372.5,3,19.7,20.0
Javonte Williams,RB,DAL,28.5,31,0,3,31.3,34.0
Breece Hall,RB,NYJ,31.4,34,0,3,33.0,35.0
Garrett Wilson,WR,NYJ,28.3,38,0,3,44.7,49.0
Josh Jacobs,RB,GB,84.8,155,0,7,29.3,30.0
Ladd McConkey,WR,LAC,40.1,40,0,3,42.7,44.0
Jaylen Waddle,WR,DEN,45.1,35,0,3,46.7,41.0
Emeka Egbuka,WR,TB,34.2,42,0,3,40.7,43.0
Jeremiyah Love,RB,ARI,27.7,37,0,3,26.7,26.0
Colston Loveland,TE,CHI,59.8,39,171.9,3,43.0,38.0
Travis Etienne Jr.,RB,NO,36.7,44,0,4,41.0,42.0
Lamar Jackson,QB,BAL,55.6,36,324.9,3,38.3,37.0
Terry McLaurin,WR,WAS,45.1,48,0,4,55.3,54.0
Ashton Jeanty,RB,LV,23.1,25,247.3,3,11.3,13.0
Davante Adams,WR,LAR,37.8,47,0,4,57.0,52.0
D'Andre Swift,RB,CHI,39.9,45,0,4,49.7,47.0
Luther Burden III,WR,CHI,51.3,46,0,4,53.3,57.0
Drake Maye,QB,NE,52.1,43,323.0,4,51.7,46.0
Cam Skattebo,RB,NYG,37.7,53,0,4,38.0,39.0
Tyler Warren,TE,IND,70.2,56,159.7,4,50.0,45.0
Jameson Williams,WR,DET,37.4,51,0,4,59.7,63.0
Bucky Irving,RB,TB,44.7,50,0,4,46.7,55.0
Quinshon Judkins,RB,CLE,50.0,55,0,4,45.0,51.0
David Montgomery,RB,HOU,55.5,54,0,4,48.7,50.0
DJ Moore,WR,BUF,45.8,52,0,4,50.3,61.0
Christian Watson,WR,GB,53.0,57,0,4,67.7,66.0
Mike Evans,WR,SF,55.5,64,0,4,63.0,65.0
Rome Odunze,WR,CHI,48.1,59,0,4,63.3,67.0
Joe Burrow,QB,CIN,54.6,49,310.9,4,52.3,48.0
Bhayshul Tuten,RB,JAC,52.0,60,0,4,56.3,60.0
TreVeyon Henderson,RB,NE,65.2,65,0,5,53.3,59.0
Jayden Daniels,QB,WAS,72.4,63,322.5,4,60.3,53.0
Jadarian Price,RB,SEA,56.2,58,0,4,59.3,64.0
Parker Washington,WR,JAC,62.9,62,0,4,73.0,78.0
Jalen Hurts,QB,PHI,77.2,61,320.5,4,61.0,56.0
Tucker Kraft,TE,GB,104.5,69,147.7,5,65.7,58.0
Carnell Tate,WR,TEN,77.0,72,0,5,73.7,75.0
Marvin Harrison Jr.,WR,ARI,66.0,70,0,5,76.3,74.0
Jaylen Warren,RB,PIT,68.4,68,0,5,69.3,73.0
Rhamondre Stevenson,RB,NE,63.6,66,0,5,74.7,76.0
Caleb Williams,QB,CHI,87.5,67,0,5,73.0,68.0
Brian Thomas Jr.,WR,JAC,68.8,80,0,5,75.7,79.0
Tony Pollard,RB,TEN,69.6,74,0,5,79.0,81.0
Harold Fannin Jr.,TE,CLE,76.1,78,151.8,5,68.7,70.0
DK Metcalf,WR,PIT,63.6,75,0,5,84.0,83.0
Sam LaPorta,TE,DET,99.8,79,145.3,5,71.7,62.0
Justin Herbert,QB,LAC,103.0,71,0,5,78.3,69.0
Chris Godwin Jr.,WR,TB,78.4,81,0,5,90.7,93.0
Rico Dowdle,RB,PIT,79.0,77,0,5,78.3,85.0
Kyle Pitts Sr.,TE,ATL,94.5,82,155.9,5,76.0,71.0
Courtland Sutton,WR,DEN,61.0,84,0,5,89.3,102.0
Trevor Lawrence,QB,JAC,86.4,73,306.2,5,85.0,80.0
Jonathon Brooks,RB,CAR,89.2,83,0,5,86.3,95.0
Dak Prescott,QB,DAL,63.4,76,306.2,5,79.7,72.0
J.K. Dobbins,RB,DEN,78.4,86,0,5,88.7,92.0
Michael Pittman Jr.,WR,PIT,81.1,87,0,5,109.3,126.0
Michael Wilson,WR,ARI,73.3,91,0,5,88.7,105.0
Mike Washington Jr.,RB,LV,161.7,140,0,7,169.3,162.0
Quentin Johnston,WR,LAC,84.8,85,0,5,106.7,108.0
Blake Corum,RB,LAR,115.3,88,0,5,94.0,97.0
Alec Pierce,WR,IND,61.7,90,0,5,95.7,88.0
Chuba Hubbard,RB,CAR,86.3,92,0,5,81.7,77.0
Josh Downs,WR,IND,97.9,95,0,6,107.0,111.0
George Kittle,TE,SF,90.4,89,0,5,94.3,86.0
RJ Harvey,RB,DEN,103.9,100,0,6,84.3,103.0
Wan'Dale Robinson,WR,TEN,92.9,102,0,6,125.0,188.0
Stefon Diggs,WR,WAS,100.9,93,0,5,112.3,110.0
Jacory Croskey-Merritt,RB,WAS,103.3,101,0,6,102.7,114.0
Travis Kelce,TE,KC,129.6,107,144.6,6,96.0,91.0
Brock Purdy,QB,SF,88.5,96,307.5,6,108.7,94.0
Jordan Addison,WR,MIN,88.9,106,0,6,109.7,121.0
Jordan Mason,RB,MIN,112.7,97,0,6,103.0,120.0
Kyle Monangai,RB,CHI,103.5,112,0,6,94.7,104.0
Kenny Gainwell,RB,TB,108.0,105,0,6,108.7,122.0
Jayden Reed,WR,GB,85.3,103,0,6,113.3,124.0
Jaxson Dart,QB,NYG,125.9,99,309.9,6,93.3,84.0
Rachaad White,RB,WAS,128.0,111,0,6,115.7,130.0
Dalton Kincaid,TE,BUF,145.2,109,0,6,103.3,96.0
Bo Nix,QB,DEN,110.4,98,0,6,106.0,99.0
Patrick Mahomes II,QB,KC,102.9,104,0,6,105.0,98.0
Makai Lemon,WR,PHI,122.7,113,0,6,105.0,112.0
Jakobi Meyers,WR,JAC,93.5,117,0,6,133.0,168.0
Aaron Jones Sr.,RB,MIN,101.5,120,0,6,120.0,133.0
Matthew Stafford,QB,LAR,72.7,110,0,6,104.7,100.0
Dallas Goedert,TE,PHI,113.8,118,146.7,6,122.7,106.0
Jared Goff,QB,DET,97.6,108,0,6,119.3,116.0
Isaiah Likely,TE,NYG,132.8,116,0,6,105.7,109.0
Kyler Murray,QB,MIN,129.1,119,0,6,128.7,113.0
Mark Andrews,TE,BAL,135.1,133,0,6,119.0,115.0
KC Concepcion,WR,CLE,113.5,114,0,6,139.3,175.0
Chris Rodriguez Jr.,RB,JAC,157.4,122,0,6,152.0,197.0
Xavier Worthy,WR,KC,95.1,126,0,6,143.7,169.0
Jalen Coker,WR,CAR,114.4,129,0,6,164.7,205.0
Matthew Golden,WR,GB,96.0,121,0,6,142.3,166.0
Jake Ferguson,TE,DAL,146.5,127,0,6,113.7,118.0
Khalil Shakir,WR,BUF,107.8,134,0,6,160.7,192.0
Baker Mayfield,QB,TB,134.5,124,0,6,142.3,152.0
Tyler Allgeier,RB,ARI,155.9,131,0,6,148.0,179.0
Jordyn Tyson,WR,NO,93.8,144,0,7,95.7,90.0
Jordan Love,QB,GB,142.5,123,0,6,148.7,138.0
Woody Marks,RB,HOU,134.8,130,0,6,151.0,194.0
Tyler Shough,QB,NO,142.2,132,0,6,162.0,180.0
Romeo Doubs,WR,NE,96.4,125,0,6,152.0,198.0
Tyjae Spears,RB,TEN,144.6,137,0,6,165.0,202.0
Juwan Johnson,TE,NO,149.0,128,0,6,160.7,164.0
Deebo Samuel Sr.,WR,SF,111.2,136,0,6,141.0,157.0
Malik Willis,QB,MIA,161.4,135,0,6,159.7,140.0
Keaton Mitchell,RB,LAC,148.3,150,0,7,166.3,199.0
Tyrone Tracy Jr.,RB,NYG,162.1,163,0,7,148.3,190.0
Tank Bigsby,RB,PHI,167.6,143,0,7,165.7,186.0
De'Zhaun Stribling,WR,SF,124.6,115,0,6,126.7,125.0
Hunter Henry,TE,NE,158.9,147,0,7,153.3,159.0
Jonah Coleman,RB,DEN,157.1,139,0,7,155.7,185.0
Zach Charbonnet,RB,SEA,141.7,152,0,7,141.0,171.0
C.J. Stroud,QB,HOU,161.0,142,0,7,172.3,145.0
Chig Okonkwo,TE,WAS,160.1,149,0,7,165.0,150.0
Brenton Strange,TE,JAC,160.6,154,0,7,163.3,170.0
Sam Darnold,QB,SEA,152.7,141,0,7,151.7,134.0
Dylan Sampson,RB,CLE,175.6,151,0,7,165.5,
Alvin Kamara,RB,NO,151.9,162,0,7,145.3,148.0
Denzel Boston,WR,CLE,137.1,146,0,7,168.0,191.0
Rashid Shaheed,WR,SEA,117.7,138,0,6,147.7,163.0
Daniel Jones,QB,IND,160.3,145,0,7,179.3,158.0
Adonai Mitchell,WR,NYJ,159.8,156,0,7,217.0,
Dalton Schultz,TE,HOU,179.3,153,0,7,185.3,167.0
Brian Robinson Jr.,RB,ATL,165.9,166,0,7,146.7,131.0
Cam Ward,QB,TEN,165.3,157,0,7,176.3,143.0
Isiah Pacheco,RB,DET,151.9,210,0,8,153.3,149.0
Tre Tucker,WR,LV,131.0,148,0,7,197.5,
Jauan Jennings,WR,MIN,151.4,168,0,7,179.0,155.0
Jalen McMillan,WR,TB,132.2,160,0,7,187.3,178.0
Jerry Jeudy,WR,CLE,127.8,165,0,7,186.0,
Braelon Allen,RB,NYJ,155.2,164,0,7,178.0,
T.J. Hockenson,TE,MIN,139.2,172,0,7,174.0,176.0
AJ Barner,TE,SEA,173.8,175,0,7,187.0,147.0
MarShawn Lloyd,RB,GB,113.3,94,0,5,175.3,200.0
Bryce Young,QB,CAR,165.3,169,0,7,181.7,132.0
Oronde Gadsden II,TE,LAC,160.8,190,0,8,164.7,153.0
Jalen Nailor,WR,LV,150.3,167,0,7,164.7,184.0
Dontayvion Wicks,WR,PHI,165.2,159,0,7,201.0,
Tre' Harris,WR,LAC,203.0,171,0,7,203.0,
Ray Davis,RB,BUF,209.5,170,0,7,209.5,
Omar Cooper Jr.,WR,NYJ,184.2,174,0,7,185.3,182.0
Emmett Johnson,RB,KC,165.4,161,0,7,202.0,
Jacoby Brissett,QB,ARI,172.1,181,0,8,213.0,
Ryan Flournoy,WR,DAL,166.7,177,0,7,257.5,
Terrance Ferguson,TE,LAR,173.0,173,0,7,194.7,151.0
Sean Tucker,RB,TB,229.0,195,0,8,229.0,
Pat Bryant,WR,DEN,230.0,178,0,8,230.0,
Malik Washington,WR,MIA,148.4,180,0,8,182.0,
Keenan Allen,WR,IND,145.3,176,0,7,182.0,127.0
Kenyon Sadiq,TE,NYJ,177.9,179,0,8,176.3,181.0
Jaylin Noel,WR,HOU,184.0,186,0,8,184.0,
Gunnar Helm,TE,TEN,236.0,193,0,8,236.0,
Kayshon Boutte,WR,NE,150.1,158,0,7,199.5,
Travis Hunter,WR,JAC,174.6,198,0,8,184.7,154.0
Nicholas Singleton,RB,TEN,204.0,217,0,8,204.0,
Kimani Vidal,RB,LAC,228.5,185,0,8,228.5,
